Date,Open,High,Low,Close,Adj Close,Volume
2010-10-05,51.419518,52.084953,51.288071,63.259998,51.969940,25185400
2010-10-06,51.904224,52.528584,51.904224,63.939999,52.528584,21645200
2010-10-07,52.545006,52.577873,52.060314,63.849998,52.454647,19468400
2010-10-08,52.421795,53.013298,52.273914,64.379997,52.890045,22370500
2010-10-11,52.873627,53.243313,52.832546,64.550003,53.029728,13848900
2010-10-12,52.832546,53.309032,52.520378,64.699997,53.152946,20732000
2010-10-13,53.267963,53.637650,53.046154,65.040001,53.432259,22560500
2010-10-14,53.440479,53.769081,53.292599,65.300003,53.645863,17778100
2010-10-15,53.925190,53.933395,53.251534,65.190002,53.555508,25500700
2010-10-18,53.555508,54.664570,53.424065,66.279999,54.450962,22481700
2010-10-19,53.884113,54.253799,53.062580,65.120003,53.497986,25367400
2010-10-20,53.785519,54.541317,53.686939,66.010002,54.229156,20543900
2010-10-21,54.459171,54.878143,53.933395,66.320000,54.483826,21291200
2010-10-22,54.639919,54.672775,54.327736,66.339996,54.500244,13332800
2010-10-25,54.779583,54.886391,54.352379,66.199997,54.385231,16516600
2010-10-26,54.188072,54.689217,54.064850,66.529999,54.656349,17652900
2010-10-27,54.179859,54.212723,53.473351,65.669998,53.949829,23358900
2010-10-28,54.574196,54.796009,54.262005,66.220001,54.401665,20464200
2010-10-29,54.303082,54.680992,54.212723,66.489998,54.623474,19265600
2010-11-01,54.812450,55.214985,54.738495,66.949997,55.001389,22372700
2010-11-02,55.305363,56.069386,55.214985,67.839996,55.732548,26192200
2010-11-03,56.052940,56.085804,55.305363,67.970001,55.839344,26545300
2010-11-04,56.192600,57.178440,56.102242,69.379997,56.997692,31221400
2010-11-05,57.047001,57.507050,57.014137,70.000000,57.507050,26531700
2010-11-08,57.088058,57.852074,57.063431,70.320000,57.769939,23628000
2010-11-09,58.108883,58.786785,57.951817,70.629997,58.389969,33938100
2010-11-10,58.662785,58.828110,57.993153,71.129997,58.803318,25482400
2010-11-11,58.695843,59.439884,58.472641,71.830002,59.382015,23788900
2010-11-12,59.009983,59.026527,58.224621,70.989998,58.687595,24598100
2010-11-15,58.704109,58.877743,58.232914,70.480003,58.265953,18779600
2010-11-16,57.554996,57.720337,56.678707,68.940002,56.992851,27543400
2010-11-17,56.910152,57.356567,56.678707,69.010002,57.050720,17471800
